customer_id,contact_details,customer_name,region
1,"[{"type": "email", "value": "customer1@abc.com"}, {"type": "phone", "value": "314-555-1111"}]","ABC Company",Midwest
2,"[{"type": "email", "value": "customer2@bbbb.com"}, {"type": "phone", "value": "314-555-2222"}]","Before-for Consulting",Midwest
3,"[{"type": "email", "value": "customer3@ccc.com"}, {"type": "phone", "value": "314-555-3333"}]","Creative Concept Consulting",Midwest
4,"[{"type": "email", "value": "customer4@ddd.com"}, {"type": "phone", "value": "314-555-4444"}]","Demolition Dave's Depot",Midwest
5,"[{"type": "email", "value": "customer5@eee.com"}, {"type": "phone", "value": "314-555-5555"}]","Eagle Evangelists",Midwest
6,"[{"type": "email", "value": "customer6@fff.com"}, {"type": "phone", "value": "314-555-6666"}]","Fink About It Consulting",Midwest
7,"[{"type": "email", "value": "customer7@ggg.com"}, {"type": "phone", "value": "314-555-7777"}]","Grand Consulting",Midwest
8,"[{"type": "email", "value": "contact8@generated.com"}, {"type": "phone", "value": "555-0100-0008"}]","Generated Corp 1",West
9,"[{"type": "email", "value": "contact9@generated.com"}, {"type": "phone", "value": "555-0100-0009"}]","Generated Corp 2",Northeast
10,"[{"type": "email", "value": "contact10@generated.com"}, {"type": "phone", "value": "555-0100-0010"}]","Generated Corp 3",West
11,"[{"type": "email", "value": "contact11@generated.com"}, {"type": "phone", "value": "555-0100-0011"}]","Generated Corp 4",West
12,"[{"type": "email", "value": "contact12@generated.com"}, {"type": "phone", "value": "555-0100-0012"}]","Generated Corp 5",Midwest
